"","Word","Count"
"9618","although",380
"81193","song",380
"86809","thinking",380
"90775","united",380
"95413","word",380
"13119","bar",378
"41241","hall",377
"42976","higher",375
"46377","inside",375
"63216","ok",375
"82664","statement",375
"47216","issues",373
"68614","possible",373
"69622","process",373
"73418","residents",373
"77566","seems",373
"83718","stuff",372
"1713","18",370
"83242","store",370
"92238","video",370
"52539","light",369
"77911","senior",369
"2300","2008",368
"75064","round",368
"94526","whose",368
"15897","body",367
"79406","sign",367
"8859","air",366
"30935","economic",366
"69397","price",366
"70728","quarter",365
"95744","wrong",364
"21201","church",363
"78985","short",363
"53034","living",362
"60163","myself",362
"1454","16",361
"17463","brown",361
"32006","energy",361
"43196","himself",361
"20811","chief",360
"74580","rock",360
"41558","happen",359
"21085","chris",358
"28084","died",358
"23658","continue",357
"32607","especially",357
"34538","feet",357
"58695","mom",357
"66516","perfect",357
"69886","property",357
"41383","hand",356
"92499","visit",356
"50739","la",355
"65030","paid",355
"79759","site",355
"16900","break",354
"24310","couldnt",354
"45954","industry",354
"81316","sorry",354
"31245","eight",353
"57878","mind",353
"53021","lives",352
"71545","rate",352
"81501","space",352
"83679","student",352
"71009","race",351
"79631","single",351
"33988","fan",350
"57656","mike",350
"81786","spending",350
"95496","works",350
"44166","hour",349
"75412","runs",348
"13707","beach",347
"95057","within",347
"38942","glad",346
"56841","member",346
"24255","costs",345
"52246","level",345
"48501","judge",343
"70029","provide",343
"95430","words",343
"27818","development",342
"65914","paul",342
"70815","questions",342
"90751","union",342
"15574","block",341
"35004","film",341
"65714","pass",341
"69406","prices",341
"69538","private",340
"20830","child",339
"57348","michael",339
"63020","officers",339
"25542","current",337
"44080","hospital",336
"73520","restaurant",336
"83965","success",336
"55370","mark",335
"72870","released",335
"77885","senate",335
"12478","baby",334
"28332","dinner",334
"1606","17",333
"45775","increase",333
"85277","takes",333
"29760","dr",332
"62995","offer",332
"73365","research",332
"88925","tried",332
"39448","gone",331
"32096","enjoy",330
"93614","weather",330
"93852","welcome",330
"40629","guess",329
"46672","international",328
"13069","bank",327
"35121","finished",327
"68620","post",327
"74800","romney",327
"80184","sleep",327
"58705","moment",326
"69599","problems",326
"92762","voters",326
"16568","bowl",325
"2499","21",324
"30773","easy",324
"53768","low",324
"74923","rose",324
"95592","wouldnt",324
"13866","became",323
"53596","los",323
"57501","middle",323
"63019","officer",323
"69758","programs",323
"77500","security",323
"83711","study",323
"49452","key",322
"82483","stand",322
"8627","age",321
"41561","happened",321
"74720","role",321
"95579","worth",321
"29143","dog",320
"42540","helped",320
"68578","position",320
"71558","rather",320
"93032","walk",319
"21697","clear",318
"34253","father",318
"60208","n",318
"34936","fight",317
"53416","longer",317
"8574","afternoon",316
"89505","turned",316
"93182","war",316
"4387","40",315
"8639","agency",313
"13793","beat",313
"10318","announced",312
"40444","groups",312
"40474","growth",312
"50930","lake",312
"63189","oil",312
"63792","opening",311
"66672","personal",311
"57714","miles",310
"57144","met",309
"59417","moved",309
"84289","super",309
"88516","training",309
"20037","central",308
"26239","data",308
"91280","ur",308
"36205","force",307
"42305","heat",307
"48585","july",307
"18685","calls",306
"56007","mayor",306
"23683","contract",305
"43550","hold",305
"59447","moving",305
"87286","tickets",305
"88980","trip",305
"93160","wanna",305
"95765","wrote",305
"13003","band",304
"34599","felt",304
"8022","action",303
"29714","downtown",303
"66533","performance",303
"69300","press",303
"8013","act",302
"35081","fine",302
"51644","leaders",302
"77552","seeing",302
"88298","tour",302
"17454","brought",301
"32913","events",301
"34521","feeling",301
"38926","giving",301
"51712","learn",301
"80540","smith",301
"10334","annual",300
"75718","safety",300
"20399","charged",299
"61225","nfl",299
"68745","potential",299
"77892","send",299
"81966","spokesman",299
"17809","build",298
"20308","changes",297
"11009","arent",296
"16644","boys",296
"27668","despite",296
"30008","driving",296
"35951","focus",296
"44115","hotel",296
"68890","practice",296
"2874","24",295
"48260","johnson",295
"63870","opportunity",295
"77957","sent",295
"91652","valley",295
"79111","showed",294
"84760","sweet",294
"10180","angeles",293
"13611","bay",293
"20402","charges",293
"36562","fourth",293
"38056","gas",293
"77935","sense",293
"16608","boy",292
"24751","crazy",292
"33705","facebook",292
"14886","biggest",291
"24783","create",291
"46740","interview",291
"58225","missed",291
"92967","waiting",291
"41110","hair",290
"74355","river",290
"93679","website",290
"13441","basketball",289
"29428","door",289
"82389","stage",289
"35806","florida",288
"54633","main",288
"73297","republicans",288
"26489","dead",287
"44449","huge",286
"81033","sold",286
"82542","star",286
"12184","avenue",285
"71791","reading",285
"34575","fell",284
"66561","period",284
"78945","shooting",284
"86272","test",284
"1897","19",283
"36700","francisco",283
"77028","scored",283
"90517","understand",283
"8723","agree",282
"15693","blue",282
"27278","democrats",282
"45723","includes",282
"46519","insurance",282
"33964","families",281
"46623","interest",281
