"","Word","Count"
"1513343","rest of his life",10
"1513353","rest of my life",10
"1513431","rest of the season",10
"1545188","said i dont know",10
"1547849","said one of the",10
"1551092","said there was no",10
"1643499","something to do with",10
"1646941","sorry to hear that",10
"1727842","than the rest of",10
"1747646","that there is a",10
"1752120","thats going to be",10
"1763408","the best part of",10
"1781141","the director of the",10
"1794426","the goal is to",10
"1796770","the hall of fame",10
"1799245","the house and senate",10
"1800040","the idea of a",10
"1805053","the last day of",10
"1805104","the last five years",10
"1806777","the length of the",10
"1812265","the missouri department of",10
"1823901","the past few months",10
"1826545","the playoffs for the",10
"1828350","the president of the",10
"1832077","the reason for the",10
"1833153","the remainder of the",10
"1837496","the same time the",10
"1841968","the size of a",10
"1844930","the state of new",10
"1845076","the state supreme court",10
"1846261","the street from the",10
"1858994","the white house and",10
"1876413","there was a lot",10
"1879895","they are going to",10
"1881668","they dont want to",10
"1886570","theyre going to be",10
"1890285","think its a good",10
"1890450","think like a man",10
"1901144","this year according to",10
"1916978","time of the year",10
"1923617","to a lot of",10
"1927604","to be back in",10
"1931128","to build a new",10
"1937043","to do with it",10
"1939830","to find out what",10
"1941511","to get in the",10
"1942837","to go in the",10
"1943089","to go to a",10
"1948616","to keep up with",10
"1949409","to learn how to",10
"1950752","to make a decision",10
"1962372","to see you on",10
"1963511","to sign up for",10
"1966316","to take care of",10
"1972863","to tie the game",10
"1991758","toward the end of",10
"2030228","up the good work",10
"2035398","us know if you",10
"2060567","want to do is",10
"2089245","we want to be",10
"2089462","we were going to",10
"2102668","were going to get",10
"2111199","what to do with",10
"2201099","you can get a",10
"2202843","you dont need to",10
"2220674","youre not going to",10
"2047","10 am to 5",9
"48317","90 percent of the",9
"53175","a big fan of",9
"69232","a great time at",9
"70647","a heck of a",9
"73024","a larceny was reported",9
"76156","a lot of work",9
"88014","a request for comment",9
"91055","a short time later",9
"94019","a statement that the",9
"101264","a wide range of",9
"102125","a year ago and",9
"112730","according to a study",9
"113239","according to the latest",9
"113326","according to the us",9
"154705","am to 3 pm",9
"164437","an interview with the",9
"186992","and i dont think",9
"186996","and i dont want",9
"187421","and i think that",9
"187489","and i want to",9
"211770","and this is the",9
"215608","and were going to",9
"237206","are looking for a",9
"241637","are we going to",9
"245166","army corps of engineers",9
"249995","as a member of",9
"254657","as much as the",9
"254658","as much as they",9
"255208","as part of his",9
"264944","at a cost of",9
"265199","at a news conference",9
"274304","at the request of",9
"274965","at the white house",9
"281720","authority of new york",9
"303295","be able to see",9
"319487","been a part of",9
"325091","before the end of",9
"382860","but this is a",9
"424832","chance to win a",9
"457952","come out of the",9
"492118","couple of years ago",9
"540272","didnt think it was",9
"554121","do the right thing",9
"555096","do you have any",9
"555310","do you think about",9
"562795","dont get me wrong",9
"564813","dont want to go",9
"591404","elementary and secondary education",9
"597105","end of the season",9
"656428","first round of the",9
"670499","for a lot of",9
"680383","for more information contact",9
"680456","for more than 30",9
"684100","for some of the",9
"684353","for spreading the word",9
"686462","for the first three",9
"687165","for the last two",9
"696781","forward to seeing you",9
"696864","forward to working with",9
"696878","forward to your tweets",9
"708467","from a year ago",9
"731827","get a chance to",9
"743978","go back to the",9
"749534","going to do it",9
"757994","got off to a",9
"779945","had to go to",9
"790413","has a lot of",9
"790895","has always been a",9
"798345","have a hard time",9
"803439","have no idea what",9
"805457","have the opportunity to",9
"813460","he is one of",9
"815917","he said in a",9
"816553","he said this is",9
"819396","he was trying to",9
"862347","hope everyone has a",9
"874852","hundreds of millions of",9
"877824","i am trying to",9
"881298","i dont think you",9
"881784","i feel like a",9
"883932","i have a feeling",9
"885190","i hope you have",9
"887720","i love you i",9
"887753","i love you so",9
"891601","i the only one",9
"891811","i think i need",9
"891855","i think im going",9
"891913","i think it will",9
"892301","i think we can",9
"892448","i thought i was",9
"893650","i was a kid",9
"893651","i was a little",9
"899379","if i have to",9
"901954","if you are a",9
"906421","im going to have",9
"908299","im so proud of",9
"916395","in a lot of",9
"917231","in a small bowl",9
"917353","in a statement the",9
"933016","in other parts of",9
"937032","in st louis county",9
"938597","in the air and",9
"939473","in the center of",9
"939973","in the course of",9
"940530","in the end it",9
"940915","in the first year",9
"942080","in the long run",9
"942202","in the market for",9
"943369","in the past two",9
"944995","in the summer of",9
"973606","is a good thing",9
"979750","is going on in",9
"979781","is going to come",9
"979798","is going to have",9
"982261","is likely to be",9
"983629","is not a good",9
"989464","is the real deal",9
"991548","is what it is",9
"1000763","it is hard to",9
"1001247","it is time to",9
"1004558","it should be a",9
"1010822","its a good thing",9
"1017539","its the first time",9
"1017849","its too early to",9
"1018801","ive always wanted to",9
"1060190","larceny a larceny was",9
"1060195","larceny was reported at",9
"1079248","less than a year",9
"1149113","me know if you",9
"1187196","more than a month",9
"1187560","more than two years",9
"1241939","no such thing as",9
"1246755","not as good as",9
"1247300","not being able to",9
"1260234","number of people who",9
"1297466","of the game and",9
"1300131","of the people who",9
"1333146","on the east side",9
"1333353","on the first day",9
"1346266","only a matter of",9
"1364839","other side of the",9
"1379065","over the last few",9
"1379074","over the last two",9
"1379141","over the next two",9
"1391128","part of the game",9
"1401769","people are going to",9
"1426021","player of the week",9
"1428904","please let me know",9
"1438421","port authority of new",9
"1495880","reduce the number of",9
"1513462","rest of the year",9
"1529820","rookie of the year",9
"1544707","said he would be",9
"1545683","said in a news",9
"1546224","said it would be",9
"1585919","senate president stephen sweeney",9
"1617861","since the end of",9
"1630705","so happy for you",9
"1655246","spoke on condition of",9
"1668144","state of new jersey",9
"1685588","stuck in my head",9
"1708003","take the time to",9
"1728738","thank you for sharing",9
"1729717","thanks for the love",9
"1729829","thanks for your support",9
"1736776","that he did not",9
"1736825","that he had been",9
"1741013","that many of the",9
"1741924","that needs to be",9
"1747032","that the number of",9
"1758103","the american red cross",9
"1760669","the awkward moment when",9
"1769818","the center of a",9
"1783846","the edge of the",9
"1786436","the face of the",9
"1790005","the first time he",9
"1790046","the first time the",9
"1790049","the first time this",9
"1791413","the former house speaker",9
"1794540","the golden gate bridge",9
"1799393","the house of representatives",9
"1805312","the last time you",9
"1807092","the life of a",9
"1807103","the life of the",9
"1813625","the most important thing",9
"1815550","the nature of the",9
"1817854","the nfl scouting combine",9
"1820918","the only thing that",9
"1822409","the outcome of the",9
"1830790","the quality of the",9
"1836783","the same as the",9
"1839553","the securities and exchange",9
"1844596","the state board of",9
"1854671","the university of california",9
"1874199","there are plenty of",9
"1890392","think its time to",9
"1895832","this is not the",9
"1910353","through the end of",9
"1925141","to all of the",9
"1927098","to be a big",9
"1932390","to check it out",9
"1933325","to come out of",9
"1933483","to comment on the",9
"1941529","to get into the",9
"1943096","to go to bed",9
"1943159","to go to work",9
"1950291","to look at the",9
"1951237","to make sure the",9
"1955318","to participate in the",9
"1958388","to reach out to",9
"1961596","to see all the",9
"1961790","to see if the",9
"1966488","to take over the",9
"1968070","to the center of",9
